date,region,temp_max,temp_min,temp_mean,precipitation,wind_speed,solar_radiation,evapotranspiration
2015-03-18,Nakuru,29.8,13.5,21.6,0.0,14.8,27.29,6.24
2015-03-19,Nakuru,28.9,14.1,21.2,0.0,15.0,24.7,5.67
2015-03-20,Nakuru,28.4,11.6,21.0,0.0,15.6,25.86,5.91
2015-03-21,Nakuru,28.9,13.3,21.5,0.0,12.4,26.47,5.94
2015-03-22,Nakuru,27.8,13.9,21.1,0.0,17.5,23.94,5.5
2015-03-23,Nakuru,25.9,16.3,19.5,18.8,13.1,21.64,4.29
2015-03-24,Nakuru,22.9,15.5,18.2,18.4,15.0,17.81,3.43
2015-03-25,Nakuru,23.7,12.3,18.4,0.9,10.2,22.61,4.39
2015-03-26,Nakuru,24.4,16.1,19.1,6.0,13.8,22.25,4.3
2015-03-27,Nakuru,24.8,14.2,18.9,2.1,12.1,23.04,4.45
2015-03-28,Nakuru,24.6,14.7,18.9,4.3,12.1,22.73,4.4
2015-03-29,Nakuru,23.6,15.5,19.0,1.5,13.3,21.17,4.19
2015-03-30,Nakuru,24.4,15.2,19.4,0.9,13.4,22.62,4.55
2015-03-31,Nakuru,24.0,12.8,18.7,0.6,14.8,23.26,4.62
2015-04-01,Nakuru,24.3,14.9,19.5,1.0,14.0,23.27,4.78
2015-04-02,Nakuru,26.4,16.9,20.9,0.3,16.6,25.92,5.49
2015-04-03,Nakuru,24.7,16.5,19.0,5.0,11.0,20.76,4.04
2015-04-04,Nakuru,20.7,14.5,17.3,22.3,7.0,12.83,2.46
2015-04-05,Nakuru,23.5,13.2,17.7,10.5,6.4,20.18,3.84
2015-04-06,Nakuru,23.4,14.4,18.2,10.6,8.7,20.79,3.99
2015-04-07,Nakuru,24.0,12.6,17.8,2.3,12.1,21.73,4.19
2015-04-08,Nakuru,24.4,12.2,18.0,3.3,9.4,23.86,4.52
2015-04-09,Nakuru,23.3,13.8,18.0,5.9,14.9,19.65,3.67
2015-04-10,Nakuru,22.0,14.5,18.2,1.4,14.8,18.62,3.58
2015-04-11,Nakuru,25.1,15.4,19.7,0.0,13.9,26.01,5.16
2015-04-12,Nakuru,25.4,11.9,19.0,0.0,15.8,26.36,5.24
2015-04-13,Nakuru,24.9,11.3,19.1,0.0,15.0,27.03,5.43
2015-04-14,Nakuru,23.7,13.6,19.1,0.4,8.4,22.53,4.38
2015-04-15,Nakuru,23.8,13.0,18.7,0.4,8.2,20.99,4.08
2015-04-16,Nakuru,22.7,14.6,17.9,11.7,12.3,19.81,3.76
2015-04-17,Nakuru,20.9,14.7,17.1,11.7,5.8,11.47,2.21
2015-04-18,Nakuru,21.0,13.7,17.3,17.1,6.3,18.87,3.53
2015-04-19,Nakuru,23.3,12.9,17.5,6.6,13.8,19.08,3.69
2015-04-20,Nakuru,23.2,13.0,17.7,4.7,13.5,22.87,4.37
2015-04-21,Nakuru,23.6,11.5,17.9,10.7,7.6,24.01,4.48
2015-04-22,Nakuru,23.0,13.1,18.0,1.3,7.0,21.78,4.1
2015-04-23,Nakuru,23.5,12.7,17.6,6.2,9.5,22.64,4.29
2015-04-24,Nakuru,24.3,12.2,17.7,0.0,9.9,24.41,4.7
2015-04-25,Nakuru,24.4,12.1,18.1,0.0,9.4,25.43,4.83
2015-04-26,Nakuru,24.0,12.5,18.0,3.9,12.1,22.98,4.4
2015-04-27,Nakuru,20.8,14.2,16.9,12.8,8.4,15.04,2.78
2015-04-28,Nakuru,22.8,13.8,18.0,0.5,12.8,22.38,4.28
2015-04-29,Nakuru,24.3,12.1,18.0,0.0,12.0,23.79,4.57
2015-04-30,Nakuru,23.2,13.8,17.9,1.2,15.5,21.36,4.0
2015-05-01,Nakuru,22.9,13.7,17.4,1.3,12.4,19.3,3.58
2015-05-02,Nakuru,22.1,13.0,17.1,1.9,9.4,20.55,3.77
2015-05-03,Nakuru,23.2,14.0,18.1,2.2,6.5,23.37,4.4
2015-05-04,Nakuru,24.1,11.4,17.9,0.2,10.6,23.76,4.63
2015-05-05,Nakuru,21.8,14.0,17.4,1.3,12.4,20.63,3.8
2015-05-06,Nakuru,23.2,14.5,17.7,22.4,12.5,21.73,4.05
2015-05-07,Nakuru,22.5,12.6,17.4,1.5,9.3,19.91,3.78
2015-05-08,Nakuru,22.0,14.2,17.6,5.1,10.0,18.11,3.42
2015-05-09,Nakuru,21.7,14.2,17.6,2.2,7.1,18.22,3.41
2015-05-10,Nakuru,22.0,13.8,18.1,2.7,6.8,19.16,3.57
2015-05-11,Nakuru,23.6,12.7,18.4,3.1,8.7,20.77,4.01
2015-05-12,Nakuru,23.8,13.5,18.7,2.1,11.2,20.43,3.97
2015-05-13,Nakuru,24.3,13.3,19.2,0.3,12.6,23.46,4.56
2015-05-14,Nakuru,23.2,13.6,18.5,0.2,10.2,23.34,4.38
2015-05-15,Nakuru,24.2,12.2,18.4,0.2,9.4,24.46,4.69
2015-05-16,Nakuru,24.2,14.0,18.7,0.2,9.7,23.09,4.39
2015-05-17,Nakuru,24.1,13.6,18.3,2.0,9.5,22.52,4.29
2015-05-18,Nakuru,23.0,14.2,17.7,0.8,10.9,16.64,3.26
2015-05-19,Nakuru,22.9,12.8,17.5,3.4,8.7,18.4,3.57
2015-05-20,Nakuru,23.9,13.5,18.0,0.0,9.7,20.27,4.0
2015-05-21,Nakuru,24.5,12.8,18.3,0.0,12.3,22.62,4.47
2015-05-22,Nakuru,24.6,12.8,18.7,0.0,12.8,24.25,4.75
2015-05-23,Nakuru,23.7,13.1,18.3,0.0,10.8,22.2,4.27
2015-05-24,Nakuru,23.0,13.7,17.8,1.8,9.4,21.72,4.09
2015-05-25,Nakuru,24.0,11.3,18.0,0.2,11.9,23.03,4.47
2015-05-26,Nakuru,22.6,13.7,18.0,1.2,8.0,16.87,3.26
2015-05-27,Nakuru,23.5,11.1,17.8,0.7,10.1,22.56,4.26
2015-05-28,Nakuru,23.3,12.9,17.8,0.1,10.1,22.14,4.14
2015-05-29,Nakuru,23.0,13.0,17.5,0.0,9.7,21.66,4.07
2015-05-30,Nakuru,22.1,14.1,17.7,1.5,9.4,20.02,3.75
2015-05-31,Nakuru,22.2,15.1,17.9,0.0,10.0,21.03,3.95
2015-06-01,Nakuru,21.3,14.6,17.7,2.6,6.8,18.3,3.43
2015-06-02,Nakuru,19.8,14.5,17.0,0.3,5.4,11.67,2.22
2015-06-03,Nakuru,23.3,14.0,18.6,0.5,9.9,21.34,4.06
2015-06-04,Nakuru,21.6,15.5,18.1,3.8,11.6,16.41,3.12
2015-06-05,Nakuru,23.1,13.4,18.0,3.6,10.3,18.21,3.46
2015-06-06,Nakuru,22.6,13.9,17.5,1.6,9.0,18.24,3.42
2015-06-07,Nakuru,21.8,12.1,16.7,0.2,11.4,19.54,3.58
2015-06-08,Nakuru,23.0,11.2,17.3,0.0,10.8,21.22,4.02
2015-06-09,Nakuru,22.6,13.6,17.2,0.3,8.8,19.43,3.62
2015-06-10,Nakuru,22.4,13.4,17.3,0.0,10.2,20.52,3.85
2015-06-11,Nakuru,22.5,12.6,17.3,0.2,8.5,22.05,4.08
2015-06-12,Nakuru,22.1,13.0,17.0,0.2,9.3,20.49,3.79
2015-06-13,Nakuru,22.7,12.1,17.1,0.3,11.2,20.83,3.87
2015-06-14,Nakuru,22.6,11.9,16.9,3.7,9.4,20.1,3.71
2015-06-15,Nakuru,23.6,12.3,18.1,0.0,10.8,21.6,4.11
2015-06-16,Nakuru,22.3,14.9,18.1,1.2,7.3,18.68,3.48
2015-06-17,Nakuru,21.6,12.6,17.5,0.2,7.1,16.7,3.13
2015-06-18,Nakuru,21.9,12.5,17.3,0.4,10.8,18.32,3.35
2015-06-19,Nakuru,21.5,12.5,16.7,0.2,11.4,16.62,3.07
2015-06-20,Nakuru,22.4,14.2,17.7,0.0,9.2,20.71,3.91
2015-06-21,Nakuru,23.0,13.8,17.7,0.1,8.3,20.85,3.97
2015-06-22,Nakuru,22.4,11.6,16.8,0.0,9.7,21.27,3.98
2015-06-23,Nakuru,22.5,12.1,17.2,0.0,7.6,20.02,3.78
2015-06-24,Nakuru,22.1,13.4,17.4,2.5,6.5,20.4,3.79
2015-06-25,Nakuru,21.9,13.4,17.5,2.4,6.9,18.89,3.5
2015-06-26,Nakuru,21.6,13.5,17.6,4.9,6.5,18.86,3.48
2015-06-27,Nakuru,22.2,11.5,17.1,0.0,7.4,19.95,3.75
2015-06-28,Nakuru,22.1,13.7,17.4,0.6,10.5,18.97,3.59
2015-06-29,Nakuru,22.5,13.6,17.8,1.2,10.6,20.5,3.87
2015-06-30,Nakuru,23.1,11.3,17.4,0.0,10.1,21.77,4.14
2015-07-01,Nakuru,23.0,13.3,17.7,0.0,9.5,22.65,4.28
2015-07-02,Nakuru,23.2,13.2,17.9,0.1,12.3,21.24,4.12
2015-07-03,Nakuru,23.3,13.6,17.9,0.0,12.7,20.46,4.02
2015-07-04,Nakuru,23.6,11.2,17.4,0.0,8.7,23.04,4.36
2015-07-05,Nakuru,23.7,9.5,16.6,0.0,10.5,24.23,4.54
2015-07-06,Nakuru,23.0,9.7,16.5,0.0,12.3,23.22,4.53
2015-07-07,Nakuru,22.5,12.5,17.2,0.0,11.6,20.85,3.95
2015-07-08,Nakuru,24.8,11.9,17.8,0.0,12.8,23.3,4.6
2015-07-09,Nakuru,24.4,10.0,17.3,0.0,10.2,23.82,4.59
2015-07-10,Nakuru,24.1,11.2,17.4,0.0,11.3,23.27,4.5
2015-07-11,Nakuru,24.1,10.7,17.3,0.0,10.1,24.96,4.78
2015-07-12,Nakuru,24.4,10.0,17.2,0.0,13.0,24.43,4.82
2015-07-13,Nakuru,24.3,10.0,17.2,0.0,12.8,24.1,4.75
2015-07-14,Nakuru,23.9,10.3,17.1,0.0,9.9,22.83,4.38
2015-07-15,Nakuru,23.6,10.6,16.9,0.0,11.5,23.17,4.53
2015-07-16,Nakuru,24.6,10.0,17.6,0.0,11.7,23.13,4.73
2015-07-17,Nakuru,23.8,14.3,18.4,0.0,9.4,20.52,4.09
2015-07-18,Nakuru,24.5,11.9,18.2,0.0,9.3,22.54,4.28
2015-07-19,Nakuru,23.3,14.1,18.0,3.2,12.4,20.03,3.9
2015-07-20,Nakuru,20.5,13.4,16.6,0.4,5.4,14.64,2.78
2015-07-21,Nakuru,21.7,11.7,16.5,4.7,8.4,16.26,3.1
2015-07-22,Nakuru,22.1,11.9,16.1,6.0,8.6,17.69,3.33
2015-07-23,Nakuru,21.2,11.3,16.1,0.6,10.6,19.03,3.52
2015-07-24,Nakuru,23.0,10.8,17.2,0.0,10.8,20.28,3.82
2015-07-25,Nakuru,22.6,11.5,17.2,1.2,9.8,19.78,3.76
2015-07-26,Nakuru,22.2,11.7,16.9,4.9,7.1,18.22,3.44
2015-07-27,Nakuru,24.0,9.8,16.7,0.7,9.4,19.52,3.76
2015-07-28,Nakuru,21.8,10.6,16.2,4.6,12.4,20.28,3.65
2015-07-29,Nakuru,21.7,12.1,16.6,1.2,9.7,21.14,3.85
2015-07-30,Nakuru,20.7,12.4,16.3,0.1,10.1,17.79,3.24
